비교기준,풍속_mps,순간풍속_mps,수치충족일수,실효습도35이하와동일일,건조2일이상구간중
육상_주의보,14,20,0,0,0
산지_주의보,17,25,0,0,0
육상_경보,21,26,0,0,0
산지_경보,24,30,0,0,0
