tm,stnId,stnNm,sumSsHr,avgTa,avgRhm,avgWs,sumRn
2026-04-22,211,인제,4.2,12.2,44.8,1.7,
2026-04-22,93,북춘천,6.4,12.0,55.4,1.2,
2026-04-23,211,인제,,12.4,41.5,2.4,
2026-04-23,93,북춘천,9.8,13.8,43.0,2.0,
2026-04-24,211,인제,10.7,13.4,44.6,1.7,
2026-04-24,93,북춘천,12.2,13.9,44.4,0.9,
