날짜,평균풍속,최대풍속,최대순간풍속,평균습도,최소습도,실효습도_계산값,기준35이하,기준25이하,기준35_2일이상구간,기준25_2일이상구간
2026-02-23,3.3,5.5,12.1,21.1,11,33.924524999999996,True,False,True,False
2026-02-24,0.7,2.2,4.9,44.8,25,34.187118,True,False,True,False
