stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
211,인제,2025-08-28,24.9,21.2,0526,29.5,1309,,,,,,,7.2,200,2340,3.5,200,2340,1.4,1228,180,21.1,57,1309,80.4,25.1,989.4,1014.6,0003,1010.6,1926,1012.3,13.2,0.2,,,,,,,,,8.8,5.1,26.3,20.2,,,,,,,,,,,,,,
211,인제,2025-08-29,27.9,25.6,0413,31.4,1430,0.0,,0.0,,,0.0,11.2,180,1539,4.5,180,1541,2.5,2174,200,22.6,61,1432,73.8,27.4,989.4,1014.2,2347,1010.5,1443,1012.1,13.1,1.2,,,,,,,,,7.1,4.8,28.3,23.5,,,,,,,,,,,,,,
211,인제,2025-08-30,25.4,22.7,2329,30.7,1357,4.3,1440,4.7,1401,,5.7,11.6,320,1436,4.4,320,1442,1.2,1009,200,23.1,64,1358,88.1,28.4,991.2,1015.4,0937,1012.5,1423,1014.1,13.1,2.0,,,,,,,,,7.8,4.0,27.4,21.2,,,,,,,,,,,,,,
211,인제,2025-08-31,25.2,22.6,0612,31.4,1305,2.9,1859,3.6,1817,,3.9,10.0,250,1859,4.9,250,1907,0.9,798,160,22.6,59,1205,86.6,27.5,987.1,1014.0,0032,1006.8,1824,1010.0,13.1,3.0,,,,,,,,,6.0,2.0,28.0,21.7,,,,,,,,,,,,,,
