tm,stnId,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,maxWs,maxWsWd,maxInsWs,maxInsWsWd,avgRhm,minRhm,minRhmHrmt,avgCm10Te,avgCm20Te,avgCm30Te,avgCm5Te,avgLmac,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,avgPa,avgPs,avgPv,avgTca,avgTd,avgTs,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,hr1MaxIcsr,hr1MaxIcsrHrmt,hr1MaxRn,hr1MaxRnHrmt,hr24SumRws,iscs,maxInsWsHrmt,maxPs,maxPsHrmt,maxTaHrmt,maxWd,maxWsHrmt,mi10MaxRn,mi10MaxRnHrmt,minPs,minPsHrmt,minTaHrmt,minTg,n99Rn,ssDur,sumDpthFhsc,sumFogDur,sumGsr,sumLrgEv,sumRnDur,sumSmlEv,sumSsHr
2025-09-18,211,인제,18.0,14.2,21.7,,1.8,4.6,20,10.1,20,78.9,57,1212,,,,,5.8,,,,,,994.3,1017.9,16.0,7.5,14.0,19.8,,,,,,,,,1596,,0700,1021.1,2155,1222,20,0749,,,1012.6,0104,2333,11.8,,12.3,,,,,,,0.3
2025-09-19,211,인제,16.8,13.7,21.9,8.3,1.1,2.8,50,5.2,20,88.6,60,1212,,,,,6.1,,,,,,994.4,1018.1,16.8,9.8,14.8,19.8,,,,,,,3.9,2328,950,,1316,1021.3,0634,1212,20,1341,0.8,2324,1013.6,2400,0314,11.4,,12.3,,,,,,,0.4
2025-09-20,211,인제,17.0,14.8,20.0,40.7,1.5,3.8,20,8.3,50,89.8,74,1350,,,,,7.3,,,,,,987.2,1010.7,17.2,9.0,15.2,20.1,,,,,,,9.3,42,1289,,1352,1014.9,2355,1452,50,1415,2.4,47,1007.6,0726,0335,14.3,,12.3,,,,,,,0.0
2025-09-21,211,인제,17.6,11.8,24.1,,1.7,3.9,20,7.8,50,75.0,44,1452,,,,,1.8,,,,,,995.4,1019.1,14.6,4.1,12.5,21.3,,,,,,,,,1470,,1637,1023.9,2344,1432,20,1229,,,1014.8,0001,2350,9.1,,12.2,,,,,,,8.2
2025-09-22,211,인제,16.0,10.1,23.3,,1.5,3.1,50,5.7,20,78.8,52,1435,,,,,6.5,,,,,,999.0,1022.9,14.2,9.6,12.0,18.7,,,,,,,,,1281,,1411,1025.2,0532,1402,50,0356,,,1020.1,1602,0436,8.6,,12.2,,,,,,,0.9
2025-09-23,211,인제,18.9,13.8,25.0,,1.6,3.5,70,7.1,20,68.9,27,1257,,,,,5.9,,,,,,997.0,1020.6,14.3,7.3,12.2,21.4,,,,,,,,,1401,,1623,1023.2,0712,1255,20,1409,,,1018.4,1458,0607,12.5,,12.1,,,,,,,7.6
2025-09-24,211,인제,20.1,16.3,23.1,10.1,1.4,3.5,180,8.1,200,86.1,72,1015,,,,,6.5,,,,,,990.7,1014.0,20.2,9.4,17.5,21.5,,,,,,,6.1,1503,1219,,2053,1019.0,0001,1354,180,2058,2.2,1535,1011.2,1454,0358,15.3,,12.1,,,,,,,0.0
2025-09-25,211,인제,20.2,16.3,25.3,0.0,1.1,3.7,200,7.2,200,85.4,52,1545,,,,,2.1,,,,,,994.0,1017.4,20.0,5.6,17.4,23.1,,,,,,,0.0,,985,,1614,1019.8,2123,1505,200,1521,0.0,,1013.7,0001,2357,12.5,,12.1,,,,,,,4.8
2025-09-26,211,인제,18.6,15.0,26.1,,1.0,2.3,200,3.7,180,82.1,50,1507,,,,,2.6,,,,,,996.3,1019.9,17.2,4.1,15.1,22.1,,,,,,,,,875,,1447,1021.9,0900,1538,360,1451,,,1017.1,1502,2329,13.1,,12.0,,,,,,,5.8
2025-09-27,211,인제,18.3,13.6,26.1,,1.3,2.4,90,4.7,70,80.1,51,1449,,,,,1.0,,,,,,995.0,1018.6,16.5,3.8,14.4,21.1,,,,,,,,,1081,,1215,1021.7,0648,1537,20,1217,,,1015.9,1513,0658,12.0,,12.0,,,,,,,6.3
